datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2008 5:00:00 AM,1/1/2008 12:00:00 AM,SERC,SOUTH,DOM,DOM,9948.000,True
1/1/2008 6:00:00 AM,1/1/2008 1:00:00 AM,SERC,SOUTH,DOM,DOM,9744.000,True
1/1/2008 7:00:00 AM,1/1/2008 2:00:00 AM,SERC,SOUTH,DOM,DOM,9508.000,True
1/1/2008 8:00:00 AM,1/1/2008 3:00:00 AM,SERC,SOUTH,DOM,DOM,9392.000,True
1/1/2008 9:00:00 AM,1/1/2008 4:00:00 AM,SERC,SOUTH,DOM,DOM,9417.000,True
1/1/2008 10:00:00 AM,1/1/2008 5:00:00 AM,SERC,SOUTH,DOM,DOM,9611.000,True
1/1/2008 11:00:00 AM,1/1/2008 6:00:00 AM,SERC,SOUTH,DOM,DOM,9912.000,True
1/1/2008 12:00:00 PM,1/1/2008 7:00:00 AM,SERC,SOUTH,DOM,DOM,9999.000,True
1/1/2008 1:00:00 PM,1/1/2008 8:00:00 AM,SERC,SOUTH,DOM,DOM,10043.000,True
1/1/2008 2:00:00 PM,1/1/2008 9:00:00 AM,SERC,SOUTH,DOM,DOM,10111.000,True
1/1/2008 3:00:00 PM,1/1/2008 10:00:00 AM,SERC,SOUTH,DOM,DOM,10131.000,True
1/1/2008 4:00:00 PM,1/1/2008 11:00:00 AM,SERC,SOUTH,DOM,DOM,10094.000,True
1/1/2008 5:00:00 PM,1/1/2008 12:00:00 PM,SERC,SOUTH,DOM,DOM,9920.000,True
1/1/2008 6:00:00 PM,1/1/2008 1:00:00 PM,SERC,SOUTH,DOM,DOM,9766.000,True
1/1/2008 7:00:00 PM,1/1/2008 2:00:00 PM,SERC,SOUTH,DOM,DOM,9673.000,True
1/1/2008 8:00:00 PM,1/1/2008 3:00:00 PM,SERC,SOUTH,DOM,DOM,9729.000,True
1/1/2008 9:00:00 PM,1/1/2008 4:00:00 PM,SERC,SOUTH,DOM,DOM,10241.000,True
1/1/2008 10:00:00 PM,1/1/2008 5:00:00 PM,SERC,SOUTH,DOM,DOM,11704.000,True
1/1/2008 11:00:00 PM,1/1/2008 6:00:00 PM,SERC,SOUTH,DOM,DOM,12154.000,True
1/2/2008 12:00:00 AM,1/1/2008 7:00:00 PM,SERC,SOUTH,DOM,DOM,12210.000,True
1/2/2008 1:00:00 AM,1/1/2008 8:00:00 PM,SERC,SOUTH,DOM,DOM,12117.000,True
1/2/2008 2:00:00 AM,1/1/2008 9:00:00 PM,SERC,SOUTH,DOM,DOM,11778.000,True
1/2/2008 3:00:00 AM,1/1/2008 10:00:00 PM,SERC,SOUTH,DOM,DOM,11116.000,True
