datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2009 5:00:00 AM,1/1/2009 12:00:00 AM,SERC,SOUTH,DOM,DOM,12208.000,True
1/1/2009 6:00:00 AM,1/1/2009 1:00:00 AM,SERC,SOUTH,DOM,DOM,12107.000,True
1/1/2009 7:00:00 AM,1/1/2009 2:00:00 AM,SERC,SOUTH,DOM,DOM,12022.000,True
1/1/2009 8:00:00 AM,1/1/2009 3:00:00 AM,SERC,SOUTH,DOM,DOM,12125.000,True
1/1/2009 9:00:00 AM,1/1/2009 4:00:00 AM,SERC,SOUTH,DOM,DOM,12281.000,True
1/1/2009 10:00:00 AM,1/1/2009 5:00:00 AM,SERC,SOUTH,DOM,DOM,12697.000,True
1/1/2009 11:00:00 AM,1/1/2009 6:00:00 AM,SERC,SOUTH,DOM,DOM,13071.000,True
1/1/2009 12:00:00 PM,1/1/2009 7:00:00 AM,SERC,SOUTH,DOM,DOM,13206.000,True
1/1/2009 1:00:00 PM,1/1/2009 8:00:00 AM,SERC,SOUTH,DOM,DOM,13162.000,True
1/1/2009 2:00:00 PM,1/1/2009 9:00:00 AM,SERC,SOUTH,DOM,DOM,13005.000,True
1/1/2009 3:00:00 PM,1/1/2009 10:00:00 AM,SERC,SOUTH,DOM,DOM,12846.000,True
1/1/2009 4:00:00 PM,1/1/2009 11:00:00 AM,SERC,SOUTH,DOM,DOM,12491.000,True
1/1/2009 5:00:00 PM,1/1/2009 12:00:00 PM,SERC,SOUTH,DOM,DOM,12081.000,True
1/1/2009 6:00:00 PM,1/1/2009 1:00:00 PM,SERC,SOUTH,DOM,DOM,11603.000,True
1/1/2009 7:00:00 PM,1/1/2009 2:00:00 PM,SERC,SOUTH,DOM,DOM,11235.000,True
1/1/2009 8:00:00 PM,1/1/2009 3:00:00 PM,SERC,SOUTH,DOM,DOM,11131.000,True
1/1/2009 9:00:00 PM,1/1/2009 4:00:00 PM,SERC,SOUTH,DOM,DOM,11662.000,True
1/1/2009 10:00:00 PM,1/1/2009 5:00:00 PM,SERC,SOUTH,DOM,DOM,13111.000,True
1/1/2009 11:00:00 PM,1/1/2009 6:00:00 PM,SERC,SOUTH,DOM,DOM,13578.000,True
1/2/2009 12:00:00 AM,1/1/2009 7:00:00 PM,SERC,SOUTH,DOM,DOM,13615.000,True
1/2/2009 1:00:00 AM,1/1/2009 8:00:00 PM,SERC,SOUTH,DOM,DOM,13558.000,True
1/2/2009 2:00:00 AM,1/1/2009 9:00:00 PM,SERC,SOUTH,DOM,DOM,13312.000,True
1/2/2009 3:00:00 AM,1/1/2009 10:00:00 PM,SERC,SOUTH,DOM,DOM,12866.000,True
